,sound,nsyll,npause,dur(s),phonationtime(s),speechrate(nsyll / dur),articulation rate(nsyll / phonationtime),ASD(speakingtime / nsyll)
723,sounds/asr-spanish-v1-carlfm01/audios\01c1d2c0-1a19-473b-a58b-0649a218b7e7.wav,8,0,2.04,2.04,3.9215686274509802,3.9215686274509802,0.255
724,sounds/asr-spanish-v1-carlfm01/audios\01c4f4e0-a330-42fe-a547-c967ece6c945.wav,14,0,2.69,2.69,5.204460966542751,5.204460966542751,0.19214285714285714
725,sounds/asr-spanish-v1-carlfm01/audios\01c53274-9702-4669-bf27-27bbcd9001e2.wav,15,1,3.79,3.79,3.9577836411609497,4.445761707172495,0.22493333333333337
726,sounds/asr-spanish-v1-carlfm01/audios\01c5b316-4245-44c1-bf14-377ebd944262.wav,23,1,5.13,5.13,4.483430799220273,4.781704781704781,0.2091304347826087
727,sounds/asr-spanish-v1-carlfm01/audios\01c5f433-d1dd-4103-9242-c1dcffb4a6cb.wav,10,0,2.32,2.32,4.310344827586207,4.310344827586207,0.23199999999999998
728,sounds/asr-spanish-v1-carlfm01/audios\01c72781-6566-49e3-9c0d-85df15503c52.wav,16,0,3.51,3.51,4.5584045584045585,4.5584045584045585,0.219375
729,sounds/asr-spanish-v1-carlfm01/audios\01c75a80-4912-492b-b03c-a3fb3119ffee.wav,42,4,10.78,10.78,3.8961038961038965,4.774897680763984,0.2094285714285714
730,sounds/asr-spanish-v1-carlfm01/audios\01c7a60b-aec1-47fb-8abe-1a24a2a130ff.wav,60,4,12.07,12.07,4.971002485501242,6.015640665730901,0.16623333333333332
731,sounds/asr-spanish-v1-carlfm01/audios\01c8e2c8-e87a-4569-905e-356bf6ff31fc.wav,9,0,2.11,2.11,4.265402843601896,4.265402843601896,0.23444444444444443
732,sounds/asr-spanish-v1-carlfm01/audios\01ca4891-7883-4026-bb63-b4e737257aeb.wav,51,2,10.98,10.98,4.644808743169398,5.197717081125152,0.19239215686274513
733,sounds/asr-spanish-v1-carlfm01/audios\01ca781a-d695-4686-bb14-d3c0345df448.wav,10,0,2.2,2.2,4.545454545454545,4.545454545454545,0.22000000000000003
734,sounds/asr-spanish-v1-carlfm01/audios\01cac489-4419-47dd-9b8d-9a41f868006d.wav,22,0,3.9,3.9,5.641025641025641,5.641025641025641,0.17727272727272728
735,sounds/asr-spanish-v1-carlfm01/audios\01caf4d9-45aa-49d8-9328-0259e33f44dc.wav,10,0,2.1,2.1,4.761904761904762,4.761904761904762,0.21000000000000002
736,sounds/asr-spanish-v1-carlfm01/audios\01cced54-0eb2-4f2e-9578-2bfa576cae33.wav,11,0,2.59,2.59,4.2471042471042475,4.2471042471042475,0.23545454545454544
737,sounds/asr-spanish-v1-carlfm01/audios\01cded0f-3665-47b4-8d21-3c0f03118e72.wav,28,2,6.09,6.09,4.597701149425287,5.2611800075159705,0.1900714285714286
738,sounds/asr-spanish-v1-carlfm01/audios\01ce4a24-f9ca-4e76-9c75-c768e0e67129.wav,72,5,17.01,17.01,4.232804232804233,5.262388539687181,0.19002777777777777
739,sounds/asr-spanish-v1-carlfm01/audios\01d01707-fc28-48ee-b4e2-02ebbef55cc1.wav,8,0,2.03,2.03,3.9408866995073897,3.9408866995073897,0.25375
740,sounds/asr-spanish-v1-carlfm01/audios\01d08d72-b231-4160-be6f-0f3016ef12c4.wav,7,1,2.57,2.57,2.7237354085603114,3.5971223021582737,0.27799999999999997
741,sounds/asr-spanish-v1-carlfm01/audios\01d11641-5f62-4a00-83d4-1347ae4cf3b0.wav,29,0,5.84,5.84,4.965753424657534,4.965753424657534,0.2013793103448276
742,sounds/asr-spanish-v1-carlfm01/audios\01d15c0b-c65e-4e63-8d52-cb40837f7a33.wav,18,0,3.5,3.5,5.142857142857143,5.142857142857143,0.19444444444444445
743,sounds/asr-spanish-v1-carlfm01/audios\01d275f8-4057-48da-9b2a-01ad7379ca14.wav,10,0,2.67,2.67,3.7453183520599254,3.7453183520599254,0.267
744,sounds/asr-spanish-v1-carlfm01/audios\01d27674-7d43-4faa-bf49-31e9bb6521e3.wav,14,2,4.19,4.19,3.3412887828162288,4.250151791135397,0.23528571428571432
745,sounds/asr-spanish-v1-carlfm01/audios\01d27972-d4db-4c7c-86e7-9f7b7f816a89.wav,15,0,3.01,3.01,4.983388704318937,4.983388704318937,0.20066666666666666
746,sounds/asr-spanish-v1-carlfm01/audios\01d34e67-ecdd-48ca-98e4-6f3d03c36448.wav,8,0,2.37,2.37,3.375527426160337,3.375527426160337,0.29625
747,sounds/asr-spanish-v1-carlfm01/audios\01d38534-9d33-4d80-96fe-d0393c708aba.wav,10,1,2.56,2.56,3.90625,5.0,0.2
748,sounds/asr-spanish-v1-carlfm01/audios\01d3cdd9-7b6d-4b66-b8a6-c0690113451b.wav,10,0,3.04,3.04,3.289473684210526,3.289473684210526,0.304
749,sounds/asr-spanish-v1-carlfm01/audios\01d413d0-24ad-4959-9ccc-52515dc3b2fe.wav,9,0,1.81,1.81,4.972375690607735,4.972375690607735,0.20111111111111113
